"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","NK/T cells","NK/T cells","TGFB1","TGFbR1_R2",4.876210170873e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Macrophage cells","NK/T cells","TGFB1","TGFbR1_R2",2.03273949743319e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Mast cells","NK/T cells","TGFB1","TGFbR1_R2",1.87892372810312e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","B cells","NK/T cells","TGFB1","TGFbR1_R2",2.30868842376324e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Endothelial cells","NK/T cells","TGFB1","TGFbR1_R2",1.906544539291e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","NK/T cells","Macrophage cells","TGFB1","TGFbR1_R2",4.37408803243364e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Macrophage cells","Macrophage cells","TGFB1","TGFbR1_R2",1.82307096069179e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","Fibroblast cells","Macrophage cells","TGFB1","TGFbR1_R2",1.91656024416145e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","Mast cells","Macrophage cells","TGFB1","TGFbR1_R2",1.68481539655998e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"10","B cells","Macrophage cells","TGFB1","TGFbR1_R2",2.07107381701787e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"11","Endothelial cells","Macrophage cells","TGFB1","TGFbR1_R2",1.70892917018614e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"12","NK/T cells","Fibroblast cells","TGFB1","TGFbR1_R2",2.30131891769094e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"13","Macrophage cells","Fibroblast cells","TGFB1","TGFbR1_R2",9.5931076555254e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"14","Mast cells","Fibroblast cells","TGFB1","TGFbR1_R2",8.86688071365389e-08,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"15","Endothelial cells","Fibroblast cells","TGFB1","TGFbR1_R2",8.99653242945245e-08,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"16","NK/T cells","Mast cells","TGFB1","TGFbR1_R2",1.10547650930186e-06,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"17","Macrophage cells","Mast cells","TGFB1","TGFbR1_R2",4.60837956174275e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"18","Mast cells","Mast cells","TGFB1","TGFbR1_R2",4.25966173461797e-08,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"19","Endothelial cells","Mast cells","TGFB1","TGFbR1_R2",4.32226854670348e-08,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"20","NK/T cells","B cells","TGFB1","TGFbR1_R2",2.65645170225296e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"21","Macrophage cells","B cells","TGFB1","TGFbR1_R2",1.10738928976357e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"22","Mast cells","B cells","TGFB1","TGFbR1_R2",1.02359199039945e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"23","Endothelial cells","B cells","TGFB1","TGFbR1_R2",1.03863476901709e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"24","NK/T cells","Endothelial cells","TGFB1","TGFbR1_R2",4.25259849450619e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"25","Macrophage cells","Endothelial cells","TGFB1","TGFbR1_R2",1.77199236143781e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"26","Fibroblast cells","Endothelial cells","TGFB1","TGFbR1_R2",1.86295938225177e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"27","Mast cells","Endothelial cells","TGFB1","TGFbR1_R2",1.63722370051388e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"28","B cells","Endothelial cells","TGFB1","TGFbR1_R2",2.01370223337306e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"29","Endothelial cells","Endothelial cells","TGFB1","TGFbR1_R2",1.6598292028119e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"30","NK/T cells","NK/T cells","TGFB2","TGFbR1_R2",6.98051495956697e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"31","Macrophage cells","NK/T cells","TGFB2","TGFbR1_R2",2.96161619873078e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"32","Fibroblast cells","NK/T cells","TGFB2","TGFbR1_R2",4.36206148176196e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"33","Mast cells","NK/T cells","TGFB2","TGFbR1_R2",2.68522457352941e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"34","B cells","NK/T cells","TGFB2","TGFbR1_R2",3.29887617090342e-07,0.03,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"35","Endothelial cells","NK/T cells","TGFB2","TGFbR1_R2",2.79093215554298e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"36","NK/T cells","Macrophage cells","TGFB2","TGFbR1_R2",6.26447309500765e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"37","Macrophage cells","Macrophage cells","TGFB2","TGFbR1_R2",2.65774406572483e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"38","Fibroblast cells","Macrophage cells","TGFB2","TGFbR1_R2",3.91436884408796e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"39","Mast cells","Macrophage cells","TGFB2","TGFbR1_R2",2.40965350121977e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"40","B cells","Macrophage cells","TGFB2","TGFbR1_R2",2.96051151436226e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"41","Endothelial cells","Macrophage cells","TGFB2","TGFbR1_R2",2.50436479601916e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"42","NK/T cells","Fibroblast cells","TGFB2","TGFbR1_R2",3.2947357004276e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"43","Macrophage cells","Fibroblast cells","TGFB2","TGFbR1_R2",1.3978460183591e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"44","Fibroblast cells","Fibroblast cells","TGFB2","TGFbR1_R2",2.05882499251639e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"45","Mast cells","Fibroblast cells","TGFB2","TGFbR1_R2",1.26738648897573e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"46","Endothelial cells","Fibroblast cells","TGFB2","TGFbR1_R2",1.31726320543818e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"47","NK/T cells","Mast cells","TGFB2","TGFbR1_R2",1.58254444851665e-07,0.01,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"48","Macrophage cells","Mast cells","TGFB2","TGFbR1_R2",6.7142443437999e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"49","Fibroblast cells","Mast cells","TGFB2","TGFbR1_R2",9.88917463297035e-09,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"50","Mast cells","Mast cells","TGFB2","TGFbR1_R2",6.08763919962622e-09,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"51","Endothelial cells","Mast cells","TGFB2","TGFbR1_R2",6.32728490880675e-09,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"52","NK/T cells","B cells","TGFB2","TGFbR1_R2",3.80284899266155e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"53","Macrophage cells","B cells","TGFB2","TGFbR1_R2",1.61343047363618e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"54","Fibroblast cells","B cells","TGFB2","TGFbR1_R2",2.37636475597053e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"55","Mast cells","B cells","TGFB2","TGFbR1_R2",1.46285734720606e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"56","Endothelial cells","B cells","TGFB2","TGFbR1_R2",1.52044376377232e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"57","NK/T cells","Endothelial cells","TGFB2","TGFbR1_R2",6.09399360239535e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"58","Macrophage cells","Endothelial cells","TGFB2","TGFbR1_R2",2.58531824201239e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"59","Fibroblast cells","Endothelial cells","TGFB2","TGFbR1_R2",3.80753386348649e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"60","Mast cells","Endothelial cells","TGFB2","TGFbR1_R2",2.34391509392833e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"61","B cells","Endothelial cells","TGFB2","TGFbR1_R2",2.87997668945163e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"62","Endothelial cells","Endothelial cells","TGFB2","TGFbR1_R2",2.4358545275058e-08,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"63","NK/T cells","NK/T cells","TGFB3","TGFbR1_R2",1.51224782264772e-05,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"64","Macrophage cells","NK/T cells","TGFB3","TGFbR1_R2",7.31793399296354e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"65","Fibroblast cells","NK/T cells","TGFB3","TGFbR1_R2",1.88416862586513e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"66","Mast cells","NK/T cells","TGFB3","TGFbR1_R2",3.38832510488491e-07,0.01,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"67","B cells","NK/T cells","TGFB3","TGFbR1_R2",8.01739228074746e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"68","Endothelial cells","NK/T cells","TGFB3","TGFbR1_R2",1.4299880932311e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"69","Endothelial cells","Neutrophil cells","TGFB3","TGFbR1_R2",1.55186512921669e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"70","NK/T cells","Macrophage cells","TGFB3","TGFbR1_R2",1.35700871184974e-05,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"71","Macrophage cells","Macrophage cells","TGFB3","TGFbR1_R2",6.56609247940368e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"72","Fibroblast cells","Macrophage cells","TGFB3","TGFbR1_R2",1.69002550494309e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"73","Mast cells","Macrophage cells","TGFB3","TGFbR1_R2",3.04049721073544e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"74","B cells","Macrophage cells","TGFB3","TGFbR1_R2",7.19437737829439e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"75","Endothelial cells","Macrophage cells","TGFB3","TGFbR1_R2",1.28217544514459e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"76","Macrophage cells","Fibroblast cells","TGFB3","TGFbR1_R2",3.4538681751025e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"77","Fibroblast cells","Fibroblast cells","TGFB3","TGFbR1_R2",8.89217049388912e-08,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"78","Endothelial cells","Fibroblast cells","TGFB3","TGFbR1_R2",6.74820795319093e-08,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"79","NK/T cells","Mast cells","TGFB3","TGFbR1_R2",3.42839741541649e-07,0.02,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"80","Macrophage cells","Mast cells","TGFB3","TGFbR1_R2",1.65903821230993e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"81","Fibroblast cells","Mast cells","TGFB3","TGFbR1_R2",4.27156134454756e-08,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"82","B cells","Mast cells","TGFB3","TGFbR1_R2",1.81761261257979e-08,0.03,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"83","Endothelial cells","Mast cells","TGFB3","TGFbR1_R2",3.24188932707361e-08,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"84","NK/T cells","B cells","TGFB3","TGFbR1_R2",8.23842466894779e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"85","Macrophage cells","B cells","TGFB3","TGFbR1_R2",3.98666040311175e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"86","Fibroblast cells","B cells","TGFB3","TGFbR1_R2",1.0264526698073e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"87","Mast cells","B cells","TGFB3","TGFbR1_R2",1.84589196420729e-08,0.01,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"88","B cells","B cells","TGFB3","TGFbR1_R2",4.36771553233001e-08,0.01,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"89","Endothelial cells","B cells","TGFB3","TGFbR1_R2",7.79022210334923e-08,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"90","NK/T cells","Endothelial cells","TGFB3","TGFbR1_R2",1.3199309775933e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"91","Neutrophil cells","Endothelial cells","TGFB3","TGFbR1_R2",1.02837810820223e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"92","Macrophage cells","Endothelial cells","TGFB3","TGFbR1_R2",6.38589606181652e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"93","Fibroblast cells","Endothelial cells","TGFB3","TGFbR1_R2",1.64292933130797e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"94","Mast cells","Endothelial cells","TGFB3","TGFbR1_R2",2.95742011539836e-08,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"95","B cells","Endothelial cells","TGFB3","TGFbR1_R2",6.99781311870588e-08,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"96","Endothelial cells","Endothelial cells","TGFB3","TGFbR1_R2",1.24585208249358e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"97","NK/T cells","NK/T cells","TGFB1","ACVR1B_TGFbR2",8.94412016796361e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"98","Macrophage cells","NK/T cells","TGFB1","ACVR1B_TGFbR2",3.72882305062386e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"99","Mast cells","NK/T cells","TGFB1","ACVR1B_TGFbR2",3.44692735882064e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"100","Endothelial cells","NK/T cells","TGFB1","ACVR1B_TGFbR2",3.49815841611796e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"101","Mast cells","Epithelial cells","TGFB1","ACVR1B_TGFbR2",8.94312874278721e-08,0.01,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"102","Endothelial cells","Epithelial cells","TGFB1","ACVR1B_TGFbR2",9.07618071561671e-08,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"103","NK/T cells","Macrophage cells","TGFB1","ACVR1B_TGFbR2",7.37994300288163e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"104","Macrophage cells","Macrophage cells","TGFB1","ACVR1B_TGFbR2",3.07661912222439e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"105","Fibroblast cells","Macrophage cells","TGFB1","ACVR1B_TGFbR2",3.23422932233052e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"106","Mast cells","Macrophage cells","TGFB1","ACVR1B_TGFbR2",2.84394638110419e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"107","B cells","Macrophage cells","TGFB1","ACVR1B_TGFbR2",3.49405267783968e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"108","Endothelial cells","Macrophage cells","TGFB1","ACVR1B_TGFbR2",2.88603739079915e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"109","NK/T cells","Fibroblast cells","TGFB1","ACVR1B_TGFbR2",9.01461603839684e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"110","Macrophage cells","Fibroblast cells","TGFB1","ACVR1B_TGFbR2",3.75807907996624e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"111","Fibroblast cells","Fibroblast cells","TGFB1","ACVR1B_TGFbR2",3.95060324845347e-08,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"112","Mast cells","Fibroblast cells","TGFB1","ACVR1B_TGFbR2",3.47385470080058e-08,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"113","B cells","Fibroblast cells","TGFB1","ACVR1B_TGFbR2",4.2679988337193e-08,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"114","Endothelial cells","Fibroblast cells","TGFB1","ACVR1B_TGFbR2",3.52523533452544e-08,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"115","NK/T cells","Mast cells","TGFB1","ACVR1B_TGFbR2",4.01362315971961e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"116","Macrophage cells","Mast cells","TGFB1","ACVR1B_TGFbR2",1.6732578280029e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"117","Fibroblast cells","Mast cells","TGFB1","ACVR1B_TGFbR2",1.7589714258328e-08,0.02,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"118","Mast cells","Mast cells","TGFB1","ACVR1B_TGFbR2",1.54673450910521e-08,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"119","B cells","Mast cells","TGFB1","ACVR1B_TGFbR2",1.90025270865927e-08,0.01,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
