"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"TRGC1","OK","negbinomial.size",0.00131822714846398,0.00931176108271311,"TRGC1",13
"LRIG3","OK","negbinomial.size",0.00132055245245929,0.00932338576574189,"LRIG3",165
"WNT2B","OK","negbinomial.size",0.00132150573895478,0.00932531673198644,"WNT2B",76
"APLP2","OK","negbinomial.size",0.0013229128375027,0.00933044642923497,"APLP2",769
"WDPCP","OK","negbinomial.size",0.0013277144011108,0.00934509294737712,"WDPCP",99
"RIC3","OK","negbinomial.size",0.00132767139870058,0.00934509294737712,"RIC3",103
"PCED1B","OK","negbinomial.size",0.0013272057319662,0.00934509294737712,"PCED1B",23
"IGFLR1","OK","negbinomial.size",0.00132720650487177,0.00934509294737712,"IGFLR1",24
"RPN1","OK","negbinomial.size",0.00133521676810563,0.00939307878198614,"RPN1",529
"PNPT1","OK","negbinomial.size",0.00134779602849172,0.00947671241355682,"PNPT1",246
"YTHDF2","OK","negbinomial.size",0.00135329741161789,0.00950564971457974,"YTHDF2",463
"HELZ2","OK","negbinomial.size",0.00135320026917251,0.00950564971457974,"HELZ2",180
"EVC","OK","negbinomial.size",0.00135773559119439,0.00953194311156842,"EVC",175
"GPR176","OK","negbinomial.size",0.00136842033351051,0.00960204098981955,"GPR176",258
"USP33","OK","negbinomial.size",0.00137091456430343,0.00961462474085609,"USP33",508
"UGDH","OK","negbinomial.size",0.00137260601715531,0.00962156839209837,"UGDH",373
"CACNB2","OK","negbinomial.size",0.00137774882719724,0.00965268560341761,"CACNB2",25
"H3-3A","OK","negbinomial.size",0.00139112415107166,0.00973714581568465,"H3-3A",1163
"PRMT9","OK","negbinomial.size",0.00139122363309097,0.00973714581568465,"PRMT9",125
"LIMD2","OK","negbinomial.size",0.00139451241665696,0.00975518680861816,"LIMD2",234
"MMD","OK","negbinomial.size",0.00139560080780147,0.00975782460826738,"MMD",223
"FIBIN","OK","negbinomial.size",0.00139689779229142,0.00976191742977776,"FIBIN",92
"CDH5","OK","negbinomial.size",0.00140105830595696,0.00978600704741219,"CDH5",13
"RTN2","OK","negbinomial.size",0.00140344927728122,0.00979771866958971,"RTN2",216
"LANCL1","OK","negbinomial.size",0.00140961001855374,0.00983572239802656,"LANCL1",199
"TWF2","OK","negbinomial.size",0.0014126978577245,0.00985225684405929,"TWF2",504
"MPDZ","OK","negbinomial.size",0.0014136877400839,0.00985415061914174,"MPDZ",273
"RASD1","OK","negbinomial.size",0.00142019429735056,0.00989447708027171,"RASD1",537
"CRABP2","OK","negbinomial.size",0.00142200912010811,0.00990209193382897,"CRABP2",454
"TLE4","OK","negbinomial.size",0.00142467183717999,0.00990396838286331,"TLE4",507
"FBXO3","OK","negbinomial.size",0.00142301846734758,0.00990396838286331,"FBXO3",269
"OAF","OK","negbinomial.size",0.00142448102141724,0.00990396838286331,"OAF",597
"PET100","OK","negbinomial.size",0.0014251664665237,0.00990396838286331,"PET100",582
"SNX10","OK","negbinomial.size",0.00142635277789314,0.00990719362386737,"SNX10",201
"ANKRD37","OK","negbinomial.size",0.00143041646759679,0.00992768639202246,"ANKRD37",161
"SPG7","OK","negbinomial.size",0.00143075054651031,0.00992768639202246,"SPG7",368
"CYS1","OK","negbinomial.size",0.0014365029323066,0.00996256179240745,"CYS1",171
"NDUFC1","OK","negbinomial.size",0.00144140313186834,0.00999149477663963,"NDUFC1",815
