"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"HNRNPH1","OK","negbinomial.size",1.13381617881689e-23,8.68921248101122e-22,"HNRNPH1",784
"IDO1","OK","negbinomial.size",1.16806878961375e-23,8.90198203106743e-22,"IDO1",78
"HIGD1B","OK","negbinomial.size",1.27308423754187e-23,9.64871246994443e-22,"HIGD1B",180
"RPL41","OK","negbinomial.size",1.39561430195153e-23,1.05192510956984e-21,"RPL41",1206
"SCGB2A1","OK","negbinomial.size",2.31112350298717e-23,1.73245859092776e-21,"SCGB2A1",45
"MX1","OK","negbinomial.size",2.87093205568929e-23,2.14040467064922e-21,"MX1",263
"FAU","OK","negbinomial.size",3.87157433612248e-23,2.87082468880693e-21,"FAU",1165
"MT-ND4","OK","negbinomial.size",4.37743241091503e-23,3.22847407596411e-21,"MT-ND4",1180
"SST","OK","negbinomial.size",7.21058430428725e-23,5.28956125594719e-21,"SST",22
"B4GALT1","OK","negbinomial.size",8.22960270031196e-23,6.00498350228082e-21,"B4GALT1",577
"TPSAB1","OK","negbinomial.size",9.5962633308652e-23,6.96516086628618e-21,"TPSAB1",30
"FRZB","OK","negbinomial.size",9.96932467214513e-23,7.19785241328879e-21,"FRZB",739
"GBP2","OK","negbinomial.size",1.09002373743909e-22,7.82876734564894e-21,"GBP2",487
"DDX5","OK","negbinomial.size",1.55919656898654e-22,1.11401346527903e-20,"DDX5",1140
"NREP","OK","negbinomial.size",1.60133269722177e-22,1.13819077411856e-20,"NREP",470
"ADRA2C","OK","negbinomial.size",2.05031683015424e-22,1.44980650907505e-20,"ADRA2C",539
"RPL18","OK","negbinomial.size",2.57225392638152e-22,1.80954765959496e-20,"RPL18",1187
"THBS1","OK","negbinomial.size",4.42748625690059e-22,3.09878859551849e-20,"THBS1",343
"UBD","OK","negbinomial.size",4.7615919767448e-22,3.31571161101448e-20,"UBD",138
"MCL1","OK","negbinomial.size",4.9892487138468e-22,3.4566926190177e-20,"MCL1",909
"KRTDAP","OK","negbinomial.size",6.58272362555966e-22,4.53777902992097e-20,"KRTDAP",195
"BHLHE41","OK","negbinomial.size",8.71393546049932e-22,5.97688833235648e-20,"BHLHE41",423
"CXCL12","OK","negbinomial.size",1.06772185774974e-21,7.28706887791591e-20,"CXCL12",645
"DEFB1","OK","negbinomial.size",1.14919814887203e-21,7.80430703278542e-20,"DEFB1",112
"HNRNPA2B1","OK","negbinomial.size",1.19569880555652e-21,8.0800966574504e-20,"HNRNPA2B1",1092
"NR2F2","OK","negbinomial.size",1.32500543960618e-21,8.91001206888113e-20,"NR2F2",1070
"DPYSL3","OK","negbinomial.size",1.45701996681562e-21,9.74995117306178e-20,"DPYSL3",307
"IL1R1","OK","negbinomial.size",1.7483582490476e-21,1.16427079905024e-19,"IL1R1",908
"MXRA5","OK","negbinomial.size",1.80602823782407e-21,1.19686451045752e-19,"MXRA5",662
"SLC25A6","OK","negbinomial.size",2.42369643270867e-21,1.59847440691815e-19,"SLC25A6",1067
"RACK1","OK","negbinomial.size",3.05535539937931e-21,2.00542418031987e-19,"RACK1",1170
"RPS19","OK","negbinomial.size",4.25387140332335e-21,2.77879085289475e-19,"RPS19",1190
"VCAM1","OK","negbinomial.size",4.53229103645015e-21,2.94663357526176e-19,"VCAM1",504
"RPL12","OK","negbinomial.size",4.8640267133425e-21,3.14739237988832e-19,"RPL12",1182
"RPS13","OK","negbinomial.size",6.85779925437786e-21,4.41668028974439e-19,"RPS13",1170
"APOL2","OK","negbinomial.size",1.70954986903172e-20,1.09586939735407e-18,"APOL2",269
"ARL4C","OK","negbinomial.size",2.02608148073141e-20,1.29273422105458e-18,"ARL4C",359
"RPS28","OK","negbinomial.size",2.32489342356503e-20,1.47652259187339e-18,"RPS28",1195
"CILP","OK","negbinomial.size",3.01099728351412e-20,1.90344980346759e-18,"CILP",38
"ETS2","OK","negbinomial.size",3.61245413019946e-20,2.27319475954478e-18,"ETS2",636
"EPS8","OK","negbinomial.size",4.49816540277206e-20,2.81761794498754e-18,"EPS8",903
"RPL39","OK","negbinomial.size",4.62311455405452e-20,2.88272206602363e-18,"RPL39",1190
"RPS24","OK","negbinomial.size",5.13875369936265e-20,3.18974765827406e-18,"RPS24",1188
"EEF2","OK","negbinomial.size",7.80107207614372e-20,4.82050030362791e-18,"EEF2",1117
"PARP14","OK","negbinomial.size",9.6900776407448e-20,5.96091861326176e-18,"PARP14",673
"RPL6","OK","negbinomial.size",1.44596887426149e-19,8.8552683112139e-18,"RPL6",1177
"HLA-F","OK","negbinomial.size",1.67396893398303e-19,1.02060025939463e-17,"HLA-F",580
"ZBTB16","OK","negbinomial.size",2.30099033062854e-19,1.39668076794524e-17,"ZBTB16",257
"KRT6B","OK","negbinomial.size",3.22094443363689e-19,1.94647205905863e-17,"KRT6B",114
"CSTB","OK","negbinomial.size",3.46059166625486e-19,2.08212265253001e-17,"CSTB",1015
"GGT5","OK","negbinomial.size",3.66335949387382e-19,2.19449631165769e-17,"GGT5",764
"HBA2","OK","negbinomial.size",5.27117778502406e-19,3.14391377630261e-17,"HBA2",31
"CALR","OK","negbinomial.size",5.53811862745212e-19,3.28882733036313e-17,"CALR",1037
"RHOBTB3","OK","negbinomial.size",6.18510424466322e-19,3.65720948397802e-17,"RHOBTB3",845
"RAB13","OK","negbinomial.size",6.34273830875977e-19,3.73432120684835e-17,"RAB13",880
"PWWP3B","OK","negbinomial.size",6.49921615891456e-19,3.81009603709359e-17,"PWWP3B",388
"TNFAIP3","OK","negbinomial.size",6.72742376282848e-19,3.92709783738217e-17,"TNFAIP3",338
"HSPE1","OK","negbinomial.size",8.26769728059213e-19,4.80577420742215e-17,"HSPE1",953
"RPL32","OK","negbinomial.size",1.47202867307052e-18,8.52037524775587e-17,"RPL32",1196
"LAMA2","OK","negbinomial.size",1.53119931441097e-18,8.82562697272679e-17,"LAMA2",831
"SFN","OK","negbinomial.size",1.96844141923046e-18,1.12983595769889e-16,"SFN",342
"COL14A1","OK","negbinomial.size",2.41590166885521e-18,1.38088912888982e-16,"COL14A1",763
"MFAP5","OK","negbinomial.size",2.95092855641444e-18,1.67970281895823e-16,"MFAP5",81
"EEF1D","OK","negbinomial.size",2.98771906696805e-18,1.69361694878792e-16,"EEF1D",1128
"PRXL2A","OK","negbinomial.size",3.04879674271419e-18,1.72112731343841e-16,"PRXL2A",664
"LGALS1","OK","negbinomial.size",3.21352486408091e-18,1.80668582317467e-16,"LGALS1",1181
"RBPMS","OK","negbinomial.size",3.38548183903287e-18,1.89559346399399e-16,"RBPMS",712
"RPL35A","OK","negbinomial.size",3.70832787008962e-18,2.06792039519876e-16,"RPL35A",1182
"PALLD","OK","negbinomial.size",4.68820366960258e-18,2.60375619188697e-16,"PALLD",876
"FHL2","OK","negbinomial.size",4.71854592394245e-18,2.61004084615494e-16,"FHL2",597
"SIX3","OK","negbinomial.size",5.35211040471909e-18,2.9486044390336e-16,"SIX3",49
"CEBPD","OK","negbinomial.size",5.65997824102016e-18,3.10574326041258e-16,"CEBPD",932
"PTPRC","OK","negbinomial.size",5.81705590107094e-18,3.17921804186817e-16,"PTPRC",197
"LY6D","OK","negbinomial.size",6.3267564591857e-18,3.44406528202815e-16,"LY6D",305
"CCNL1","OK","negbinomial.size",6.3851895953968e-18,3.44850515234855e-16,"CCNL1",899
"MMP10","OK","negbinomial.size",6.36432945234732e-18,3.44850515234855e-16,"MMP10",24
"RPL5","OK","negbinomial.size",7.5575139582719e-18,4.06564613645388e-16,"RPL5",1173
"POLR2J3.1","OK","negbinomial.size",9.34322576306808e-18,5.00665511788156e-16,"POLR2J3.1",448
"PER3","OK","negbinomial.size",1.02178026867788e-17,5.45400067148759e-16,"PER3",206
"FYB1","OK","negbinomial.size",1.07261804771202e-17,5.70316836376494e-16,"FYB1",122
"BTN3A2","OK","negbinomial.size",1.09157696228738e-17,5.78156477554373e-16,"BTN3A2",378
"CGNL1","OK","negbinomial.size",1.20075107515627e-17,6.33534740345914e-16,"CGNL1",335
"RPL23","OK","negbinomial.size",1.48716282176492e-17,7.8164366241269e-16,"RPL23",1133
"MME","OK","negbinomial.size",1.5504144953706e-17,8.11778093415795e-16,"MME",321
"TPM4","OK","negbinomial.size",1.73541030106383e-17,9.05184734220291e-16,"TPM4",1113
"RSPO3","OK","negbinomial.size",1.87383182295736e-17,9.73682763156406e-16,"RSPO3",121
"RPL11","OK","negbinomial.size",2.04522853038593e-17,1.05873377282393e-15,"RPL11",1190
"TPBG","OK","negbinomial.size",2.23843888656134e-17,1.15439491149806e-15,"TPBG",696
"ABCA8","OK","negbinomial.size",2.4613605846609e-17,1.26460466293551e-15,"ABCA8",651
"COL10A1","OK","negbinomial.size",2.58751304702959e-17,1.3244591036997e-15,"COL10A1",56
"CCL13","OK","negbinomial.size",3.53786759542671e-17,1.80418095442616e-15,"CCL13",170
"MT1X","OK","negbinomial.size",3.56152485383644e-17,1.80951844240475e-15,"MT1X",505
"SRSF5","OK","negbinomial.size",3.86475421970832e-17,1.95633573379921e-15,"SRSF5",884
"COL11A1","OK","negbinomial.size",4.30309344898944e-17,2.17021455636901e-15,"COL11A1",55
"NEFL","OK","negbinomial.size",4.66570169586715e-17,2.34447237596724e-15,"NEFL",121
"HNRNPU","OK","negbinomial.size",4.90088169696936e-17,2.45366040580386e-15,"HNRNPU",992
"RGS4","OK","negbinomial.size",5.11773353929903e-17,2.55291158880379e-15,"RGS4",381
"SERPING1","OK","negbinomial.size",5.31074027961755e-17,2.63959185347078e-15,"SERPING1",1065
"LAMB1","OK","negbinomial.size",6.42649723232104e-17,3.17835038621456e-15,"LAMB1",845
"DDX3X","OK","negbinomial.size",6.44103664796361e-17,3.17835038621456e-15,"DDX3X",956
"SCUBE2","OK","negbinomial.size",7.70734263323533e-17,3.78958158576065e-15,"SCUBE2",368
"RNF213","OK","negbinomial.size",9.29098191643168e-17,4.55191749748606e-15,"RNF213",751
"PPP2R2C","OK","negbinomial.size",9.43508460957108e-17,4.60606728377566e-15,"PPP2R2C",145
"ARHGAP42","OK","negbinomial.size",1.6966466940645e-16,8.25340402453079e-15,"ARHGAP42",600
"EPAS1","OK","negbinomial.size",1.84931029366669e-16,8.96425392527196e-15,"EPAS1",686
"CD81","OK","negbinomial.size",1.89392520884725e-16,9.14819225879103e-15,"CD81",1147
"RPS16","OK","negbinomial.size",1.93653921588393e-16,9.32120875912132e-15,"RPS16",1158
"HNRNPA3","OK","negbinomial.size",2.17284051818177e-16,1.04220371428033e-14,"HNRNPA3",997
"FJX1","OK","negbinomial.size",2.27173220508662e-16,1.08584050137207e-14,"FJX1",532
"CPM","OK","negbinomial.size",3.30097648967986e-16,1.57231928768849e-14,"CPM",157
"RND3","OK","negbinomial.size",3.35844010463739e-16,1.59415506420124e-14,"RND3",878
"CD69","OK","negbinomial.size",3.49833762408567e-16,1.65483432852439e-14,"CD69",120
"ANK2","OK","negbinomial.size",3.83769208830532e-16,1.80912233908496e-14,"ANK2",305
"PLAAT4","OK","negbinomial.size",3.8998631170781e-16,1.83213432329032e-14,"PLAAT4",550
"HNRNPR","OK","negbinomial.size",5.00473367428939e-16,2.34317189569631e-14,"HNRNPR",883
"MT-ND3","OK","negbinomial.size",5.03385561164606e-16,2.34879017961091e-14,"MT-ND3",1172
"CPA3","OK","negbinomial.size",5.98890015526951e-16,2.78494007898261e-14,"CPA3",19
"CST3","OK","negbinomial.size",6.68972153358831e-16,3.1003243242488e-14,"CST3",1118
"FZD1","OK","negbinomial.size",6.82760535421608e-16,3.15357206226048e-14,"FZD1",277
"PPP1R14A","OK","negbinomial.size",7.38427631193893e-16,3.39924504856303e-14,"PPP1R14A",325
"PTN","OK","negbinomial.size",8.56185689733363e-16,3.92814558252919e-14,"PTN",405
"ATP5MC2","OK","negbinomial.size",1.14838397117252e-15,5.25117710551487e-14,"ATP5MC2",1054
"HSPA8","OK","negbinomial.size",1.25978072410236e-15,5.74141926021134e-14,"HSPA8",1047
"S100A13","OK","negbinomial.size",1.29803354615238e-15,5.89616694904583e-14,"S100A13",930
"HNRNPD","OK","negbinomial.size",1.47567548136699e-15,6.68096245986547e-14,"HNRNPD",808
"ARF4","OK","negbinomial.size",1.54281861209133e-15,6.96196898706214e-14,"ARF4",870
"CCDC102B","OK","negbinomial.size",1.69508036772229e-15,7.62397130636535e-14,"CCDC102B",290
"LHFPL6","OK","negbinomial.size",2.03378028223183e-15,9.1174502979269e-14,"LHFPL6",830
"PRRX1","OK","negbinomial.size",2.2674913115872e-15,1.01320670398544e-13,"PRRX1",1066
"PCSK1","OK","negbinomial.size",2.57474783198892e-15,1.14676593374104e-13,"PCSK1",82
"ANXA5","OK","negbinomial.size",2.62088414984982e-15,1.16353685332168e-13,"ANXA5",1083
"GZMK","OK","negbinomial.size",2.99101944916058e-15,1.32357434850273e-13,"GZMK",66
"FGFR1","OK","negbinomial.size",3.09727500604083e-15,1.36618709108901e-13,"FGFR1",674
"HMCN1","OK","negbinomial.size",3.20325097719678e-15,1.40840374696107e-13,"HMCN1",291
"NR4A1","OK","negbinomial.size",3.47856109438296e-15,1.52456553011966e-13,"NR4A1",528
"FTH1","OK","negbinomial.size",4.02332366926797e-15,1.75432037469205e-13,"FTH1",1203
"MT-CO1","OK","negbinomial.size",4.02836359548036e-15,1.75432037469205e-13,"MT-CO1",1192
"FUBP1","OK","negbinomial.size",4.86554920069025e-15,2.11220265617307e-13,"FUBP1",357
"CXCL5","OK","negbinomial.size",5.52355215797996e-15,2.39028670357e-13,"CXCL5",84
"RPS15","OK","negbinomial.size",5.58082424606055e-15,2.40747632098927e-13,"RPS15",1183
"TRBC2","OK","negbinomial.size",5.71335486610304e-15,2.45692169445773e-13,"TRBC2",132
"RHCG","OK","negbinomial.size",5.80627862325195e-15,2.48907906730532e-13,"RHCG",145
"TUBB","OK","negbinomial.size",6.44571206002709e-15,2.75458810091749e-13,"TUBB",940
"UBA52","OK","negbinomial.size",7.01593531635564e-15,2.98896275371946e-13,"UBA52",1148
"SFPQ","OK","negbinomial.size",7.84452692577144e-15,3.33161672965116e-13,"SFPQ",886
"EPHB6","OK","negbinomial.size",8.72397105354455e-15,3.69368626273223e-13,"EPHB6",467
"IL7R","OK","negbinomial.size",8.83104219470622e-15,3.72751497929169e-13,"IL7R",96
"PPP1R15A","OK","negbinomial.size",9.0352267234663e-15,3.8020012328991e-13,"PPP1R15A",932
"MGST1","OK","negbinomial.size",9.60615918348222e-15,4.02988659568835e-13,"MGST1",248
"WNT2","OK","negbinomial.size",1.04022594395077e-14,4.35055472534044e-13,"WNT2",276
"TNFRSF21","OK","negbinomial.size",1.054169663666e-14,4.39547095628274e-13,"TNFRSF21",441
"CCL11","OK","negbinomial.size",1.18082068453579e-14,4.90863580317028e-13,"CCL11",109
"MMP7","OK","negbinomial.size",1.20966189039939e-14,5.01333589501474e-13,"MMP7",71
"RPL34","OK","negbinomial.size",1.31385518519068e-14,5.42875464772461e-13,"RPL34",1188
"KRT19","OK","negbinomial.size",1.4553907835702e-14,5.99551074144626e-13,"KRT19",486
"FTL","OK","negbinomial.size",1.93459545678923e-14,7.94574265755529e-13,"FTL",1204
"CALD1","OK","negbinomial.size",1.97330171297256e-14,8.08052325330078e-13,"CALD1",1160
"LAMP5","OK","negbinomial.size",2.24927629265497e-14,9.18320600673837e-13,"LAMP5",432
"IFITM3","OK","negbinomial.size",2.88776725673602e-14,1.17550122337996e-12,"IFITM3",1168
"BCAM","OK","negbinomial.size",2.92624708185261e-14,1.18764075351639e-12,"BCAM",187
"MT1M","OK","negbinomial.size",3.2126022744571e-14,1.30001410032456e-12,"MT1M",270
"SPON2","OK","negbinomial.size",4.30122811983774e-14,1.73091638236948e-12,"SPON2",923
"FUS","OK","negbinomial.size",4.30268615241283e-14,1.73091638236948e-12,"FUS",945
"CADPS","OK","negbinomial.size",4.99271419850598e-14,2.00263313962295e-12,"CADPS",302
"CRYM","OK","negbinomial.size",5.44034638294859e-14,2.175821331816e-12,"CRYM",54
"H2AJ","OK","negbinomial.size",5.66774185012078e-14,2.26017682267316e-12,"H2AJ",880
"COL3A1","OK","negbinomial.size",6.97404289437461e-14,2.77304117174003e-12,"COL3A1",1184
"NACA","OK","negbinomial.size",7.01570010461868e-14,2.78154260217223e-12,"NACA",1171
"RPL15","OK","negbinomial.size",7.25578589132872e-14,2.86844008234142e-12,"RPL15",1178
"KLK1","OK","negbinomial.size",7.32832610451718e-14,2.88879245694732e-12,"KLK1",38
"MASP1","OK","negbinomial.size",7.46663499758351e-14,2.93487962455159e-12,"MASP1",465
"IGHA2","OK","negbinomial.size",7.68556845528499e-14,3.01230365913141e-12,"IGHA2",134
"MXRA8","OK","negbinomial.size",7.76299934724632e-14,3.03398361953063e-12,"MXRA8",871
"IKZF1","OK","negbinomial.size",8.16059745886532e-14,3.18031465740666e-12,"IKZF1",71
"MARCKS","OK","negbinomial.size",8.74343840985317e-14,3.39780419564776e-12,"MARCKS",896
"DIO2","OK","negbinomial.size",8.79783752783884e-14,3.40928630527947e-12,"DIO2",992
"C6orf62","OK","negbinomial.size",9.15559560275924e-14,3.53792846418736e-12,"C6orf62",526
"NAP1L1","OK","negbinomial.size",9.40175028311117e-14,3.62284298830672e-12,"NAP1L1",1078
"EFEMP1","OK","negbinomial.size",9.69270742919614e-14,3.72449749338130e-12,"EFEMP1",282
"GADD45G","OK","negbinomial.size",1.0531776776334e-13,4.02437085843314e-12,"GADD45G",415
"RRAS","OK","negbinomial.size",1.05144944820853e-13,4.02437085843314e-12,"RRAS",945
"TRAC","OK","negbinomial.size",1.11846607484806e-13,4.26197711521267e-12,"TRAC",94
"RASL11A","OK","negbinomial.size",1.16397442461251e-13,4.42310281352753e-12,"RASL11A",404
"PTCH1","OK","negbinomial.size",1.20494982834469e-13,4.5661607031029e-12,"PTCH1",403
"SEZ6L2","OK","negbinomial.size",1.36568895606815e-13,5.16102509623771e-12,"SEZ6L2",498
"PTGDS","OK","negbinomial.size",1.46423889082199e-13,5.5182497539275e-12,"PTGDS",863
"PTGS2","OK","negbinomial.size",1.62381374960615e-13,6.10287041564308e-12,"PTGS2",300
"AP2S1","OK","negbinomial.size",1.71401129641547e-13,6.42426419787636e-12,"AP2S1",891
"NUB1","OK","negbinomial.size",1.87303157044431e-13,6.99783246215106e-12,"NUB1",527
"HTRA1","OK","negbinomial.size",1.87956651746725e-13,6.99783246215106e-12,"HTRA1",864
"PDIA3","OK","negbinomial.size",1.8823444952134e-13,6.99783246215106e-12,"PDIA3",1019
"FCGBP","OK","negbinomial.size",2.31853619035858e-13,8.59612958360515e-12,"FCGBP",144
"VGLL3","OK","negbinomial.size",2.34088785972882e-13,8.65560637729379e-12,"VGLL3",164
"PGLS","OK","negbinomial.size",3.00812258233221e-13,1.10928563399014e-11,"PGLS",823
"ZFP36L1","OK","negbinomial.size",3.19737643110773e-13,1.17591447404654e-11,"ZFP36L1",1083
"ISL1","OK","negbinomial.size",3.43076116444597e-13,1.25837384101256e-11,"ISL1",72
"ABCC9","OK","negbinomial.size",4.11482451225632e-13,1.50525767091019e-11,"ABCC9",316
"TPT1","OK","negbinomial.size",4.30212637124331e-13,1.56958961597648e-11,"TPT1",1202
"TPM2","OK","negbinomial.size",4.48430016337125e-13,1.63171431408824e-11,"TPM2",1082
"RPL30","OK","negbinomial.size",5.961305765752e-13,2.16341779086206e-11,"RPL30",1190
"RPS2","OK","negbinomial.size",6.25607207995126e-13,2.26440097078552e-11,"RPS2",1186
"CCL3","OK","negbinomial.size",6.32221978777001e-13,2.28232134338497e-11,"CCL3",55
"MFAP2","OK","negbinomial.size",6.44303458502237e-13,2.31983066764664e-11,"MFAP2",501
"CYP26B1","OK","negbinomial.size",7.18316730788709e-13,2.57954683585328e-11,"CYP26B1",211
"MYL12A","OK","negbinomial.size",7.26817630277484e-13,2.60325959586071e-11,"MYL12A",1031
"RBM25","OK","negbinomial.size",7.68542090072786e-13,2.74553656031731e-11,"RBM25",802
"ATP6V0E1","OK","negbinomial.size",8.07983474807607e-13,2.87893956036643e-11,"ATP6V0E1",1021
"RPS27A","OK","negbinomial.size",8.99779988634443e-13,3.19771551401225e-11,"RPS27A",1198
"TMSB10","OK","negbinomial.size",9.63751000362213e-13,3.41621091032787e-11,"TMSB10",1194
"PPP1R2C","OK","negbinomial.size",9.66622048319073e-13,3.4175570254745e-11,"PPP1R2C",15
"GALNT1","OK","negbinomial.size",1.06374900694384e-12,3.75128762911455e-11,"GALNT1",518
"LRRC15","OK","negbinomial.size",1.27902061771494e-12,4.49887303431115e-11,"LRRC15",73
"NSA2","OK","negbinomial.size",1.32941046364249e-12,4.66415671106078e-11,"NSA2",977
"RGS1","OK","negbinomial.size",1.37387397541983e-12,4.8078579578595e-11,"RGS1",135
"PRSS12","OK","negbinomial.size",1.38776814598958e-12,4.84412300933462e-11,"PRSS12",528
"GRK5","OK","negbinomial.size",1.447110723762e-12,5.03844287019471e-11,"GRK5",316
"TMEM158","OK","negbinomial.size",1.50758672286791e-12,5.23571510488657e-11,"TMEM158",281
"MMP3","OK","negbinomial.size",1.52017473241717e-12,5.26610024729768e-11,"MMP3",26
"HINT1","OK","negbinomial.size",1.61828420293664e-12,5.59184450777954e-11,"HINT1",1046
"PPA1","OK","negbinomial.size",1.62608132780953e-12,5.6046692600229e-11,"PPA1",741
"DIO3","OK","negbinomial.size",1.73378621832323e-12,5.96092214109225e-11,"DIO3",141
"TCEAL4","OK","negbinomial.size",1.78035389704509e-12,6.10572368991612e-11,"TCEAL4",976
"SF1","OK","negbinomial.size",1.80784714328173e-12,6.18455040188001e-11,"SF1",828
"TES","OK","negbinomial.size",1.84361800797849e-12,6.29123179936541e-11,"TES",155
"ADRA2A","OK","negbinomial.size",2.13590745110559e-12,7.27056536334157e-11,"ADRA2A",519
"PODN","OK","negbinomial.size",2.2361270110381e-12,7.59286889540117e-11,"PODN",335
"COX7C","OK","negbinomial.size",2.33075264416958e-12,7.89463327721439e-11,"COX7C",1082
"BDKRB2","OK","negbinomial.size",2.46252772815493e-12,8.32043235833236e-11,"BDKRB2",275
"RPL19","OK","negbinomial.size",2.48013358847447e-12,8.35932986896628e-11,"RPL19",1195
"ITGA8","OK","negbinomial.size",2.61358639981742e-12,8.76605824760279e-11,"ITGA8",701
"RPS5","OK","negbinomial.size",2.61325547583553e-12,8.76605824760279e-11,"RPS5",1155
"ADAR","OK","negbinomial.size",2.80307350854322e-12,9.34081568792472e-11,"ADAR",679
"FGFBP1","OK","negbinomial.size",2.80537692333065e-12,9.34081568792472e-11,"FGFBP1",79
"COX4I2","OK","negbinomial.size",2.79262612912723e-12,9.34081568792472e-11,"COX4I2",165
"INHBA","OK","negbinomial.size",2.95822272949559e-12,9.82588363274106e-11,"INHBA",297
"ZBED6CL","OK","negbinomial.size",3.54853985929283e-12,1.17581811086423e-10,"ZBED6CL",31
"TRPS1","OK","negbinomial.size",3.58909867446293e-12,1.18639170159717e-10,"TRPS1",589
"RPS9","OK","negbinomial.size",4.01796441780297e-12,1.32496240104378e-10,"RPS9",1185
"LTBP1","OK","negbinomial.size",4.6798501744097e-12,1.53952481277104e-10,"LTBP1",612
"H2AZ1","OK","negbinomial.size",4.86868015404558e-12,1.59781230510041e-10,"H2AZ1",933
"EEF1A1","OK","negbinomial.size",4.99819965477466e-12,1.63640340964675e-10,"EEF1A1",1204
"OSR2","OK","negbinomial.size",5.02936555267606e-12,1.6426865869431e-10,"OSR2",595
"HMGB1","OK","negbinomial.size",5.83193524954038e-12,1.90029662121603e-10,"HMGB1",1146
"WFDC1","OK","negbinomial.size",6.24055906109508e-12,2.02862533649532e-10,"WFDC1",354
"PAPPA","OK","negbinomial.size",6.91606919427572e-12,2.24289922475353e-10,"PAPPA",292
"C3orf80","OK","negbinomial.size",7.04652562045242e-12,2.27981694484354e-10,"C3orf80",77
"FAM162B","OK","negbinomial.size",7.37317246672511e-12,2.37988658584789e-10,"FAM162B",480
"BIRC3","OK","negbinomial.size",7.8370205635216e-12,2.52366779554905e-10,"BIRC3",167
"BMP4","OK","negbinomial.size",8.29188698408624e-12,2.66389006200691e-10,"BMP4",294
"RAMP1","OK","negbinomial.size",8.64755958892839e-12,2.77166407572242e-10,"RAMP1",667
"NFKBIA","OK","negbinomial.size",8.97217895177672e-12,2.86900584756347e-10,"NFKBIA",826
"FXYD6","OK","negbinomial.size",9.17687353203716e-12,2.92763607238339e-10,"FXYD6",242
"APCDD1","OK","negbinomial.size",9.40257904889834e-12,2.99268165644518e-10,"APCDD1",858
"FOXP1","OK","negbinomial.size",9.69564318652143e-12,3.0788155840903e-10,"FOXP1",429
"ADAMTS5","OK","negbinomial.size",1.06079770438484e-11,3.36074432072776e-10,"ADAMTS5",206
"UQCRH","OK","negbinomial.size",1.07709065530665e-11,3.40449991002226e-10,"UQCRH",1011
"MAN1A1","OK","negbinomial.size",1.09940952955912e-11,3.46680186786772e-10,"MAN1A1",514
"MT1F","OK","negbinomial.size",1.10185567458108e-11,3.46680186786772e-10,"MT1F",282
"RRAD","OK","negbinomial.size",1.12244156908365e-11,3.52349049077565e-10,"RRAD",183
"N4BP2L2","OK","negbinomial.size",1.1551537266986e-11,3.6178992746236e-10,"N4BP2L2",971
"SAMD9","OK","negbinomial.size",1.16314117154334e-11,3.63461744674979e-10,"SAMD9",317
"GPX4","OK","negbinomial.size",1.29608457985333e-11,4.04083824236999e-10,"GPX4",1076
"FBN1","OK","negbinomial.size",1.34288805573441e-11,4.17726493164732e-10,"FBN1",855
"SOCS3","OK","negbinomial.size",1.42883987889594e-11,4.43457589563225e-10,"SOCS3",684
"ENC1","OK","negbinomial.size",1.52881755745374e-11,4.73415784495495e-10,"ENC1",300
"NUPR1","OK","negbinomial.size",1.59146656164896e-11,4.91705817403162e-10,"NUPR1",994
"QPRT","OK","negbinomial.size",1.65588950504272e-11,5.10460499554517e-10,"QPRT",567
"UQCR11","OK","negbinomial.size",1.689095111709e-11,5.1952929915749e-10,"UQCR11",963
"PF4V1","OK","negbinomial.size",1.70914336126623e-11,5.24519656148772e-10,"PF4V1",104
"UBC","OK","negbinomial.size",2.00855055131038e-11,6.15028938903478e-10,"UBC",1158
"TNFRSF12A","OK","negbinomial.size",2.42940187478547e-11,7.42239085040246e-10,"TNFRSF12A",337
"BTF3","OK","negbinomial.size",2.49130946957683e-11,7.59461851192331e-10,"BTF3",1101
"ELOB","OK","negbinomial.size",2.50780297628485e-11,7.62794705735599e-10,"ELOB",1058
"TRIM22","OK","negbinomial.size",2.60430073094668e-11,7.90393748387756e-10,"TRIM22",415
"IFIT3","OK","negbinomial.size",2.72543110246355e-11,8.2533032811468e-10,"IFIT3",409
"DERL3","OK","negbinomial.size",2.85236021001023e-11,8.61865140108377e-10,"DERL3",139
"SMAD7","OK","negbinomial.size",3.15474623898127e-11,9.51138657282309e-10,"SMAD7",472
"DAPL1","OK","negbinomial.size",3.18479818649878e-11,9.58093454438382e-10,"DAPL1",108
"OAS3","OK","negbinomial.size",3.59096573633898e-11,1.07791833634788e-09,"OAS3",141
"TCF4","OK","negbinomial.size",3.75437904981237e-11,1.12451030142633e-09,"TCF4",1062
"CLEC3B","OK","negbinomial.size",3.95339232734564e-11,1.1815389095104e-09,"CLEC3B",97
"RILPL2","OK","negbinomial.size",4.39606921027305e-11,1.31098429188099e-09,"RILPL2",613
"ITIH5","OK","negbinomial.size",4.58706016570884e-11,1.36497378206494e-09,"ITIH5",205
"EGR3","OK","negbinomial.size",4.75825722689962e-11,1.41285222161491e-09,"EGR3",213
"COL8A2","OK","negbinomial.size",5.43203497202403e-11,1.6094310096377e-09,"COL8A2",227
"SLC34A2","OK","negbinomial.size",5.4546761811089e-11,1.61265620371664e-09,"SLC34A2",42
