filtered_signaling_name
10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS
2_OXOGLUTARATE_METABOLIC_PROCESS
3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS
5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS
ACETATE_ESTER_METABOLIC_PROCESS
ACETYL_COA_METABOLIC_PROCESS
ADENOSINE_METABOLIC_PROCESS
ADP_METABOLIC_PROCESS
ALCOHOL_METABOLIC_PROCESS
ALDITOL_METABOLIC_PROCESS
ALDITOL_PHOSPHATE_METABOLIC_PROCESS
ALKALOID_METABOLIC_PROCESS
ALLANTOIN_METABOLIC_PROCESS
ALPHA_AMINO_ACID_METABOLIC_PROCESS
ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS
AMIDE_METABOLIC_PROCESS
AMINE_METABOLIC_PROCESS
AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY
AMINOGLYCAN_METABOLIC_PROCESS
AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS
AMINO_ACID_BETAINE_METABOLIC_PROCESS
AMINO_ACID_METABOLIC_PROCESS
AMINO_SUGAR_METABOLIC_PROCESS
AMMONIUM_ION_METABOLIC_PROCESS
AMP_METABOLIC_PROCESS
AMYLOID_BETA_METABOLIC_PROCESS
AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS
ANDROGEN_METABOLIC_PROCESS
ARACHIDONIC_ACID_METABOLIC_PROCESS
ARGININE_METABOLIC_PROCESS
AROMATIC_AMINO_ACID_METABOLIC_PROCESS
ASPARAGINE_METABOLIC_PROCESS
ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS
ASPARTATE_METABOLIC_PROCESS
ATP_METABOLIC_PROCESS
BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS
BILE_ACID_METABOLIC_PROCESS
BIOGENIC_AMINE_METABOLIC_PROCESS
BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS
C21_STEROID_HORMONE_METABOLIC_PROCESS
CAMP_METABOLIC_PROCESS
CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS
CARBOHYDRATE_METABOLIC_PROCESS
CARDIOLIPIN_METABOLIC_PROCESS
CARNITINE_METABOLIC_PROCESS
CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS
CELLULAR_ALDEHYDE_METABOLIC_PROCESS
CELLULAR_KETONE_METABOLIC_PROCESS
CELLULAR_LIPID_METABOLIC_PROCESS
CELLULAR_METABOLIC_COMPOUND_SALVAGE
CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS
CELLULAR_RESPONSE_TO_FATTY_ACID
CERAMIDE_METABOLIC_PROCESS
CGMP_METABOLIC_PROCESS
CHITIN_METABOLIC_PROCESS
CHOLINE_METABOLIC_PROCESS
CHONDROITIN_SULFATE_METABOLIC_PROCESS
CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS
CITRATE_METABOLIC_PROCESS
CITRULLINE_METABOLIC_PROCESS
CMP_METABOLIC_PROCESS
COBALAMIN_METABOLIC_PROCESS
COENZYME_A_METABOLIC_PROCESS
COLLAGEN_METABOLIC_PROCESS
CORTISOL_METABOLIC_PROCESS
CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS
CYSTEINE_METABOLIC_PROCESS
CYTIDINE_METABOLIC_PROCESS
DAMP_METABOLIC_PROCESS
DEOXYRIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS
DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS
