,p_val,avg_logFC,pct.1,pct.2,p_val_adj
PAPOLB,0.363586075936914,0.0032950032118679,0.012,0.007,1
ZNF25,0.363596090645258,0.0120197882431762,0.116,0.099,1
SNAP25,0.363716582653749,0.00647628764357827,0.03,0.022,1
SORCS1,0.363842867538368,0.012620306004899,0.058,0.046,1
FCN1,0.363853992191052,0.0081610891768058,0.012,0.007,1
DIO2,0.363877827274897,-0.120632043919674,0.919,0.942,1
WNT9A,0.364380036377969,0.00329769066508949,0.012,0.007,1
KCNN1,0.364380036377969,0.00329769066508949,0.012,0.007,1
SGCZ,0.364380036377969,0.00329769066508949,0.012,0.007,1
AMT,0.364380036377969,-0.00654649024519841,0.007,0.012,1
RAD51,0.364380036377969,-0.00654649024519841,0.007,0.012,1
NANOS3,0.364380036377969,-0.0098091358800147,0.007,0.012,1
IGLL5,0.364380036377969,-0.029015298325454,0.012,0.007,1
CYYR1,0.364384355677485,-0.0145771215542541,0.007,0.012,1
MIB1,0.364450458852738,-0.0057465228259353,0.408,0.369,1
RGS11,0.364575282200896,0.0139838136882881,0.078,0.065,1
GDI2,0.364715863748069,0.00820152718428169,0.771,0.795,1
LAMC2,0.364730311236092,0.0178124414299147,0.02,0.013,1
SLC6A1,0.364913269304306,-0.0162733895107995,0.007,0.012,1
CCL18,0.36491490003889,-0.0113513123053713,0.007,0.012,1
KCNA2,0.365178768028244,0.0032950032118679,0.012,0.007,1
DDX43,0.365178768028244,-0.00653305276241484,0.007,0.012,1
SERPINB2,0.365440492534864,-0.00491116690446748,0.007,0.012,1
GNG8,0.365508434694331,0.00654698650182114,0.02,0.013,1
SLC6A6,0.365596077187617,-0.0470652304866567,0.123,0.137,1
IGLV3-25,0.365710399277981,2.43477837442094e-05,0.007,0.012,1
TLCD5,0.365862751189204,-0.0163075537676693,0.086,0.101,1
AFF4,0.365956630053477,-0.0426402973530114,0.557,0.579,1
ZNF416,0.366108383255026,0.0081610891768058,0.02,0.013,1
NDUFB8,0.366108660555201,0.00280379032413625,0.831,0.871,1
GJA4,0.366143270926287,0.0641357893821901,0.104,0.091,1
ZBTB26,0.366215144513626,0.00637770234256697,0.056,0.045,1
ADGRB1,0.366241335960904,-0.00490039933852956,0.007,0.012,1
HRH2,0.366285311228817,-0.00413172696861516,0.108,0.091,1
PIH1D2,0.366306469724802,0.00653902880493787,0.02,0.013,1
RPL37,0.366455145584907,-0.0332905901925984,1,1,1
PPP1R3G,0.366573117727664,0.00488281045651229,0.03,0.022,1
STARD5,0.366658209224415,0.00768111581101057,0.093,0.078,1
NLRP3,0.367042750276443,-0.00647974018543224,0.012,0.007,1
NTRK3,0.367104232863162,0.00653109696587478,0.02,0.013,1
IGLV3-21,0.367305502981133,0.0146653147206305,0.007,0.012,1
INSL6,0.367305502981133,-0.00162169025406873,0.007,0.012,1
MFAP3L,0.3673086709773,2.16778668986201e-05,0.012,0.007,1
MAP3K4,0.367369281292924,0.00537217575949289,0.265,0.237,1
NATD1,0.367465792777149,0.00467815154180573,0.093,0.078,1
PTPN3,0.367702435097751,-0.0015532744226187,0.03,0.022,1
OSBPL8,0.3678356611698,0.00850048386130386,0.891,0.932,1
ZNF707,0.367890859732467,0.00491433307793586,0.02,0.013,1
CORO2A,0.367890859732467,0.00328434086700485,0.02,0.013,1
CAND2,0.367890859732467,-0.0081150635261631,0.013,0.02,1
MUC3A,0.367890859732467,-0.0081150635261631,0.013,0.02,1
LRP5,0.367954605502268,0.00466905167762122,0.091,0.076,1
ABCB1,0.368103487721887,0.00970209689246106,0.02,0.013,1
PLAU,0.368405816996724,0.0478190429707919,0.214,0.195,1
STOML2,0.368671071124503,0.0184344366851418,0.58,0.565,1
PROSER1,0.368733725203351,-0.00760232420516735,0.068,0.055,1
PPP3CC,0.36915184085953,0.00308251819885066,0.146,0.126,1
MATR3.1,0.369205655801697,0.00753073321972347,0.116,0.099,1
TMEM86A,0.369479194967145,-0.00649300315429511,0.013,0.02,1
GLI1,0.369630173084377,-0.0148227725000901,0.081,0.096,1
YTHDC1,0.36987385587308,-0.0365536273059197,0.585,0.616,1
AC093323.1,0.369978779010688,0.0136152901965031,0.103,0.088,1
GPS2,0.370116629104598,0.00425440526531506,0.235,0.21,1
MARCHF2,0.370139046114021,-0.00228259679645076,0.232,0.207,1
IFT46,0.37031183349098,0.0133189409554725,0.126,0.109,1
CSDE1,0.370744057842348,-0.0326613473897885,0.864,0.901,1
NUDT12,0.370749354890775,0.00921561618155615,0.096,0.081,1
ZNF675,0.370921822334776,0.0102040617860878,0.148,0.129,1
APPL1,0.370967138507427,0.0181719354459643,0.577,0.556,1
SLC38A6,0.37100168430793,-0.011510709167018,0.118,0.099,1
INPP5A,0.371122427631091,-0.00123735681873513,0.134,0.116,1
MAP1LC3B,0.371153822917393,-0.0128402083317882,0.786,0.848,1
IREB2,0.371186369102028,0.0142199805083348,0.264,0.237,1
SLIT3,0.371396570299836,-0.0763045402620822,0.29,0.305,1
GRIA3,0.371860297543925,-0.0151758369426031,0.065,0.078,1
VCAN,0.371874475145842,0.118148577923141,0.816,0.858,1
SPTSSB,0.371958987564379,0.0298720390080897,0.048,0.038,1
PNPLA2,0.372004607316114,0.00443478077153198,0.176,0.154,1
PARP3,0.372050758720649,0.0111960242543884,0.045,0.035,1
PPM1M,0.372072357262652,0.00469190490278354,0.091,0.076,1
ZC3H7A,0.372407771877434,-0.00897511312341776,0.318,0.283,1
RSBN1L,0.372638039776659,0.0218257520912504,0.619,0.611,1
ZBTB9,0.372683542730876,0.00165700120762949,0.02,0.013,1
L1CAM,0.372683592779525,-0.0032091884435435,0.02,0.013,1
SDHAF4,0.372882427289786,0.012620306004899,0.061,0.05,1
MIEF2,0.372882427289786,0.012620306004899,0.061,0.05,1
ZNF615,0.372990693157235,0.0172336401363668,0.063,0.051,1
PRX,0.373044341831648,0.00971506253739194,0.032,0.023,1
ETV4,0.373066418809075,0.00967629037424912,0.032,0.023,1
HPS4,0.373201722105878,0.00165700120762954,0.191,0.167,1
CACNA1H,0.373735470324604,0.00610474760586571,0.111,0.094,1
PEX26,0.373832195866496,-0.00115990206348385,0.161,0.141,1
MRPL33,0.37392640035646,-0.0233443009977876,0.667,0.747,1
C2orf42,0.374072761909778,0.0172579416501092,0.06,0.048,1
RBL2,0.37409198426223,-0.00807543571060143,0.28,0.25,1
SMAP1,0.374100363204577,0.00459386088093916,0.476,0.439,1
ZNF225,0.374153226845439,0.00647628764357827,0.032,0.023,1
IP6K1,0.374269455276669,0.00558113966376375,0.235,0.21,1
CCDC74A,0.374581166551124,-0.0337208378740213,0.169,0.187,1
GRK5,0.374591209586044,0.00893858677889264,0.264,0.237,1
ZBTB8A,0.374887406275633,0.018923617228561,0.131,0.114,1
FAM126A,0.37522635530165,-0.0111966461957516,0.229,0.202,1
CEBPD,0.375257967538452,0.144048583041869,0.874,0.914,1
PRSS23,0.375341055648872,0.14948873303448,0.808,0.833,1
CAMK1D,0.375348983576074,-0.00273861026540853,0.106,0.089,1
CAVIN1,0.375357150641865,-0.0160343354352501,0.836,0.879,1
