,p_val,avg_logFC,pct.1,pct.2,p_val_adj
RAC1,0.322203934295984,0.0170340137273424,0.975,0.967,1
HSPA5,0.32224507234778,0.0498440225987344,0.857,0.878,1
ZNF438,0.322283681640309,0.0188992527758803,0.093,0.078,1
TNS1,0.322292376142195,0.0283954184849695,0.461,0.439,1
CEND1,0.322567678021181,-0.00643312093991474,0.01,0.017,1
SNRNP25,0.322576196360567,0.0212051278992111,0.251,0.226,1
HDLBP,0.322596920697823,0.0369376585720278,0.892,0.891,1
AL139353.1,0.322627131577667,0.00666561798180388,0.027,0.018,1
ZSWIM5,0.322734936494551,-0.00794907122777661,0.017,0.025,1
PLD1,0.322906702831052,0.0167716654114256,0.146,0.127,1
GMFB,0.323198241165595,0.00561125314970479,0.215,0.188,1
MBOAT1,0.323208922351942,0.00828505153410677,0.085,0.069,1
TSHZ2,0.323263553509849,0.0759337892542583,0.291,0.269,1
SLN,0.32337841992981,0.0470796758718599,0.005,0.01,1
MEOX2,0.323484728602416,0.0372306324191846,0.103,0.087,1
CCT4,0.323507200463264,-0.0511958583730256,0.692,0.736,1
AIFM1,0.323538345945623,-0.0253684535075358,0.103,0.12,1
IFRD2,0.323565472452559,-0.0301812292936892,0.173,0.193,1
GRIN2D,0.323647086763143,-0.00156724490890477,0.005,0.01,1
PDCD7,0.323783319956997,0.0299465483152863,0.564,0.545,1
ARHGEF17,0.323872343882981,0.000271270810553281,0.333,0.3,1
KCNJ8,0.323887335028279,-0.0117273879809072,0.21,0.185,1
RRAGB,0.323951238212255,-0.0350003941328805,0.213,0.233,1
MAST2,0.324048101514994,0.015568404925215,0.128,0.109,1
TSPAN11,0.32416846879646,0.0492083067501095,0.231,0.21,1
TRAF3IP2,0.324303654311214,0.0182212581932365,0.151,0.132,1
OSR1,0.324384715409456,0.00828505153410682,0.027,0.018,1
ALS2CL,0.324465992710263,-0.00841996866589594,0.072,0.087,1
ZNF726,0.32453777947396,0.00184380543124986,0.027,0.018,1
TMEM175,0.324545325134771,0.00386352627622935,0.121,0.102,1
GPX4,0.32458613785823,-0.0510274063360203,0.972,0.98,1
FUNDC2,0.324651990119447,-0.03780605566616,0.512,0.546,1
MAP3K6,0.324712558698266,0.00978317915512884,0.105,0.087,1
TAFA2,0.324935845505572,0.0205551441259211,0.073,0.059,1
ZC3H12C,0.32499446834441,0.0156760681804958,0.113,0.096,1
TRAF6,0.325079630381418,0.0249394864392441,0.093,0.078,1
OAT,0.325133953977547,-0.0112383451479917,0.383,0.338,1
ALDH1L2,0.325237558295234,0.0255382996816663,0.2,0.178,1
MAPK13,0.325271781298022,-0.0181756362372366,0.048,0.061,1
HINFP,0.325277564055362,0.0130131927300527,0.053,0.041,1
