filtered_signaling_name
NEGATIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION
NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION
NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION
NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION
NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION
NEGATIVE_REGULATION_OF_B_CELL_DIFFERENTIATION
NEGATIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY
NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION
NEGATIVE_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY
NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION
NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION
NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION
NEGATIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION
NEGATIVE_REGULATION_OF_IMMATURE_T_CELL_PROLIFERATION
NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE
NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
NEGATIVE_REGULATION_OF_MAST_CELL_ACTIVATION
NEGATIVE_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION
NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
NEGATIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION
NEGATIVE_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS
NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY
NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY
NEGATIVE_REGULATION_OF_T_CELL_MIGRATION
NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION
NEGATIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY
NEGATIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE
NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE
NEGATIVE_REGULATION_OF_T_HELPER_2_CELL_DIFFERENTIATION
NEGATIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION
