"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ACTR3",3.82388536055146e-09,0.170676852144795,0.408,0.252,6.70021192875827e-05
"PTPRC",3.98058039296274e-09,0.205851704239994,0.218,0.098,6.97477296454932e-05
"SERPING1",4.50192727192266e-09,0.22467785651704,0.854,0.834,7.88827696586289e-05
"FREM1",4.87402310429522e-09,0.121470785677581,0.14,0.046,8.54026328334608e-05
"PAPPA",4.99187539629593e-09,0.206420021694679,0.282,0.147,8.74676406938973e-05
"DNAJB11",5.18421666396395e-09,0.124662081422342,0.225,0.104,9.08378443859764e-05
"ARGLU1",5.39977828491825e-09,0.183588477978144,0.696,0.57,9.46149151083375e-05
"TUBB6",6.14383606237426e-09,0.15678576582759,0.333,0.19,0.000107652295484922
"ABCF1",6.15621685066096e-09,0.163252319692536,0.354,0.208,0.000107869231657281
"ZFP36L1",6.45042532142842e-09,0.239129519612425,0.901,0.802,0.000113024352482069
"CLK1",6.46961486413251e-09,0.172411748145428,0.356,0.214,0.00011336059164933
"CHORDC1",6.91852288934961e-09,0.174900157949243,0.333,0.197,0.000121226358067184
"CYP26B1",7.49660552541016e-09,0.218818266892446,0.23,0.107,0.000131355522016237
"YWHAE",7.7230347370948e-09,0.165549584761642,0.667,0.55,0.000135323014663375
"SLC38A5",9.50530654058252e-09,0.0665145535494855,0.083,0.016,0.000166551981204087
"JMJD1C",1.09260078745808e-08,0.168122639288675,0.529,0.375,0.000191445509978404
"PALLD",1.14073829184128e-08,0.246216486502137,0.694,0.632,0.000199880163496428
"TSPYL2",1.18056206018928e-08,0.191831940789227,0.351,0.207,0.000206858084186366
"FKBP2",1.26821298098564e-08,0.0989154564901863,0.164,0.063,0.000222216278528304
"DNAJA4",1.35222634094991e-08,0.100719597808801,0.122,0.037,0.000236937099461244
"FN1",1.38952142736674e-08,1.01743511674652,0.556,0.495,0.0002434719445032
"RNF213",1.4136672219864e-08,0.2471194440967,0.419,0.282,0.000247702770636458
"ENC1",1.66605164080353e-08,0.158590015048897,0.25,0.126,0.000291925568501594
"CFL1",1.74039795300483e-08,0.159958472086656,0.93,0.891,0.000304952529325506
"TAF7",1.79497577333485e-08,0.168181980727723,0.421,0.278,0.000314515655003732
"L1TD1",2.0087467680792e-08,0.108197767620346,0.101,0.026,0.000351972608702838
"TIMM10B",2.05771374904426e-08,0.110102257031887,0.216,0.1,0.000360552603107535
"SLC35B1",2.3646494522552e-08,0.09302680661254,0.133,0.045,0.000414333877024156
"DDX6",2.39939937250006e-08,0.140210148652431,0.336,0.193,0.00042042275804946
"HSPA1B",2.40249175729722e-08,0.381044465612282,0.61,0.518,0.000420964605713618
"MT-CYB",2.51935389179647e-08,0.152419148791096,0.991,1,0.000441441188920578
"CDC27",2.64765498679549e-08,0.116686431194618,0.25,0.126,0.000463922106786306
"C15orf48",2.65267757772379e-08,0.173991015098073,0.09,0.021,0.000464802165168762
"MBNL1",2.70404755579149e-08,0.193831112695414,0.599,0.477,0.000473803212725785
"ATM",2.94362397861548e-08,0.170552452545477,0.351,0.216,0.000515781793533004
"TAPBP",2.98977157389366e-08,0.183434897982992,0.484,0.345,0.000523867775177647
"TRA2B",3.04379065746562e-08,0.187793428608654,0.468,0.326,0.000533332999001125
