,p_val,avg_logFC,pct.1,pct.2,p_val_adj
MTIF3,0.774223059322566,0.00136916235871523,0.205,0.214,1
OBSCN,0.774235228544621,-0.00316326329947503,0.036,0.039,1
ATAT1,0.774235228544621,-0.00316326329947503,0.036,0.039,1
MMADHC,0.774712240577278,0.0140494255436361,0.236,0.231,1
APOO,0.774755579201774,-0.00267813254722516,0.025,0.028,1
SLC25A14,0.774755579201774,-0.00267813254722516,0.025,0.028,1
CDPF1,0.774755579201774,-0.00267813254722516,0.025,0.028,1
PDZD8,0.775612656356635,0.0193082898323083,0.162,0.159,1
SEC23B,0.775664491481231,-0.00148950488863647,0.047,0.051,1
HDAC3,0.775774161623673,0.00776321240221935,0.119,0.114,1
C12orf45,0.775904114367811,0.0098756337119668,0.128,0.123,1
ZNF3,0.776032017742753,0.00349460967768065,0.063,0.059,1
EVI5L,0.776039574858642,0.0091477940664722,0.032,0.029,1
TMCC1,0.776203191994489,0.00243696811954525,0.07,0.066,1
CIAO1,0.776714882341421,0.000107593667727501,0.182,0.191,1
WBP4,0.776911080554302,-0.00189236610392202,0.221,0.229,1
GMPS,0.776914302381729,0.0123963080223037,0.212,0.223,1
SPSB1,0.777177351794347,0.0112835722598388,0.095,0.09,1
CCL20,0.777259232688249,-0.00698399377316079,0.011,0.013,1
ZNF215,0.777259232688249,-0.00698399377316079,0.011,0.013,1
SEMA3F,0.777261031346769,-0.00475929875104956,0.011,0.013,1
SMIM8,0.777369505849073,0.00983739772903465,0.086,0.081,1
PDCD2L,0.777378267634993,0.0046323586829809,0.025,0.022,1
PRPF38A,0.777445871545945,0.00921665510492412,0.153,0.148,1
NBR1,0.777535585058728,-0.00937625337077655,0.223,0.229,1
TOP3A,0.777732360149085,0.00243696811954514,0.056,0.052,1
RHBDD3,0.777732360149085,0.00243696811954514,0.056,0.052,1
PRR14,0.778331127990985,-0.00511023751583774,0.065,0.069,1
MAFK,0.778367131234432,-0.00279043531560651,0.068,0.072,1
POFUT1,0.778514548775435,0.0029601174906187,0.077,0.072,1
SUGT1,0.778538281406295,0.0250313175956746,0.302,0.301,1
TRIM41,0.778811426147462,-0.00059198742563215,0.047,0.051,1
RHPN2,0.778969132087335,-0.00311551699524061,0.011,0.013,1
PRC1,0.77897137657182,-0.00347146856662106,0.011,0.013,1
ZNF37A,0.779021258074697,0.0100554721329201,0.209,0.203,1
SH3GLB1,0.779182525396762,0.0403233968723375,0.446,0.465,1
PPP4R2,0.779246898985797,-0.00039146696296119,0.23,0.239,1
MAPK8IP3,0.779270556138196,-0.000438662905916688,0.043,0.039,1
HFE,0.779711311384539,-0.000482741983789624,0.025,0.028,1
TBC1D25,0.779711311384539,-0.000482741983789624,0.025,0.028,1
RCCD1,0.779789281595135,-0.00134375472036086,0.036,0.039,1
UCKL1,0.780012523339574,-0.00258512226952237,0.077,0.081,1
RAB27B,0.780150754206043,0.00335112852693233,0.025,0.022,1
ENOSF1,0.780216624042984,0.00776321240221935,0.122,0.117,1
STIL,0.780679977720034,-0.00182269199293544,0.011,0.013,1
AC119674.2,0.780679977720034,-0.00182269199293544,0.011,0.013,1
KCNA3,0.780679977720034,-0.00182269199293544,0.011,0.013,1
TBX19,0.780679977720034,-0.00182269199293544,0.011,0.013,1
ARL9,0.780679977720034,-0.00182269199293544,0.011,0.013,1
PPARGC1B,0.780679977720034,-0.00182269199293544,0.011,0.013,1
BAIAP2L1,0.780679977720034,-0.00182269199293544,0.011,0.013,1
KL,0.780679977720034,-0.00182269199293544,0.011,0.013,1
WDHD1,0.780679977720034,-0.00182269199293544,0.011,0.013,1
SENP8,0.780679977720034,-0.00182269199293544,0.011,0.013,1
SPIRE2,0.780679977720034,-0.00182269199293544,0.011,0.013,1
OXT,0.780679977720034,-0.00182269199293544,0.011,0.013,1
BLOC1S3,0.780679977720034,-0.00182269199293544,0.011,0.013,1
MAPK11,0.780679977720034,-0.00182269199293544,0.011,0.013,1
DNAJC28,0.780679977720034,-0.00182269199293544,0.011,0.013,1
COL4A6,0.780679977720034,-0.00182269199293544,0.011,0.013,1
SH3GL2,0.780679977720034,-0.00182269199293544,0.011,0.013,1
RB1,0.780731153969453,0.00689131846892549,0.16,0.169,1
PODNL1,0.78089060494527,0.00884250862221306,0.137,0.132,1
EXO5,0.781659273235853,0.00243696811954536,0.025,0.022,1
CRYBG1,0.781659273235853,0.00243696811954536,0.025,0.022,1
FANCC,0.781659273235853,0.00243696811954536,0.025,0.022,1
HINFP,0.781659273235853,0.00243696811954536,0.025,0.022,1
KAT14,0.781659273235853,0.00243696811954536,0.025,0.022,1
ZNF382,0.781659273235853,0.00243696811954536,0.025,0.022,1
SLC46A3,0.781882674896177,0.00122996736951005,0.083,0.079,1
CYTH2,0.782305516599221,-0.00898621136053063,0.151,0.156,1
CSPP1,0.782391197119791,0.00749003597093641,0.108,0.104,1
KLRG1,0.782394851254114,-0.000890821973129379,0.011,0.013,1
SNTB1,0.782501910309457,0.00226829138810032,0.097,0.102,1
ZDHHC9,0.782737815355065,-0.00899740950611785,0.117,0.122,1
NAA60,0.782778351679092,0.0183328938919071,0.113,0.109,1
